Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
/home/pritesh/codes/robotics/udacity/RoboND-Rover-Project/sim_2_dataset/IMG/robocam_2017_06_03_01_20_11_915.jpg,0,0,1,0,103.0694,187.6321,0.0002366945,268.0671,2.842035E-06
/home/pritesh/codes/robotics/udacity/RoboND-Rover-Project/sim_2_dataset/IMG/robocam_2017_06_03_01_20_11_930.jpg,0,0,0,0,103.0694,187.6321,0.0002366923,268.0671,2.972083E-06
/home/pritesh/codes/robotics/udacity/RoboND-Rover-Project/sim_2_dataset/IMG/robocam_2017_06_03_01_20_11_993.jpg,0,0,0,0,103.0694,187.6321,0.0002366905,268.0671,3.082125E-06
/home/pritesh/codes/robotics/udacity/RoboND-Rover-Project/sim_2_dataset/IMG/robocam_2017_06_03_01_20_12_052.jpg,0,0,0,0,103.0694,187.6321,0.0002366891,268.0671,3.165489E-06
/home/pritesh/codes/robotics/udacity/RoboND-Rover-Project/sim_2_dataset/IMG/robocam_2017_06_03_01_20_12_111.jpg,0,0,0,0,103.0694,187.6321,0.0002366882,268.0671,3.215508E-06
/home/pritesh/codes/robotics/udacity/RoboND-Rover-Project/sim_2_dataset/IMG/robocam_2017_06_03_01_20_12_171.jpg,0,0,0,0,103.0694,187.6321,0.0002366879,268.0671,3.235515E-06
/home/pritesh/codes/robotics/udacity/RoboND-Rover-Project/sim_2_dataset/IMG/robocam_2017_06_03_01_20_12_260.jpg,0,0,0,0,103.0694,187.6321,0.0002366884,268.0671,3.205504E-06
/home/pritesh/codes/robotics/udacity/RoboND-Rover-Project/sim_2_dataset/IMG/robocam_2017_06_03_01_20_12_320.jpg,0,0,0,0,103.0694,187.6321,0.000236476,268.0671,3.141882E-06
/home/pritesh/codes/robotics/udacity/RoboND-Rover-Project/sim_2_dataset/IMG/robocam_2017_06_03_01_20_12_380.jpg,0,0,0,0,103.0694,187.6321,0.0002358373,268.0671,3.041048E-06
/home/pritesh/codes/robotics/udacity/RoboND-Rover-Project/sim_2_dataset/IMG/robocam_2017_06_03_01_20_12_440.jpg,0,0,0,0,103.0694,187.6321,0.0002351989,268.0671,2.920206E-06
/home/pritesh/codes/robotics/udacity/RoboND-Rover-Project/sim_2_dataset/IMG/robocam_2017_06_03_01_20_12_498.jpg,0,0,0,0,103.0694,187.6321,0.0002345609,268.0671,2.772689E-06
/home/pritesh/codes/robotics/udacity/RoboND-Rover-Project/sim_2_dataset/IMG/robocam_2017_06_03_01_20_12_589.jpg,0,0,0,0,103.0694,187.6321,0.0002345656,268.0671,2.495919E-06
/home/pritesh/codes/robotics/udacity/RoboND-Rover-Project/sim_2_dataset/IMG/robocam_2017_06_03_01_20_12_682.jpg,0,0,0,0,103.0694,187.6321,0.0002345701,268.0671,2.229152E-06
/home/pritesh/codes/robotics/udacity/RoboND-Rover-Project/sim_2_dataset/IMG/robocam_2017_06_03_01_20_12_739.jpg,0,0,0,0,103.0694,187.6321,0.0002345739,268.0671,2.005736E-06
/home/pritesh/codes/robotics/udacity/RoboND-Rover-Project/sim_2_dataset/IMG/robocam_2017_06_03_01_20_12_829.jpg,0,0,0,0,103.0694,187.6321,0.0002345807,268.0671,1.602251E-06
/home/pritesh/codes/robotics/udacity/RoboND-Rover-Project/sim_2_dataset/IMG/robocam_2017_06_03_01_20_12_892.jpg,0,0,0,0,103.0694,187.6321,0.000234585,268.0671,1.345489E-06
/home/pritesh/codes/robotics/udacity/RoboND-Rover-Project/sim_2_dataset/IMG/robocam_2017_06_03_01_20_12_949.jpg,0,0,0,0,103.0694,187.6321,0.0002345892,268.0671,1.095395E-06
/home/pritesh/codes/robotics/udacity/RoboND-Rover-Project/sim_2_dataset/IMG/robocam_2017_06_03_01_20_13_011.jpg,0,0,0,0,103.0694,187.6321,0.0002345934,268.0671,8.453018E-07
/home/pritesh/codes/robotics/udacity/RoboND-Rover-Project/sim_2_dataset/IMG/robocam_2017_06_03_01_20_13_079.jpg,0,0,0,0,103.0694,187.6321,0.0002345976,268.0671,5.985429E-07
/home/pritesh/codes/robotics/udacity/RoboND-Rover-Project/sim_2_dataset/IMG/robocam_2017_06_03_01_20_13_131.jpg,0,0,0,0,103.0694,187.6321,0.0002346016,268.0671,3.584535E-07
/home/pritesh/codes/robotics/udacity/RoboND-Rover-Project/sim_2_dataset/IMG/robocam_2017_06_03_01_20_13_192.jpg,0,0,0,0,103.0694,187.6321,0.0002346055,268.0671,1.283674E-07
/home/pritesh/codes/robotics/udacity/RoboND-Rover-Project/sim_2_dataset/IMG/robocam_2017_06_03_01_20_13_250.jpg,0,0,0,0,103.0694,187.6321,0.0002346092,268.0671,-8.838012E-08
/home/pritesh/codes/robotics/udacity/RoboND-Rover-Project/sim_2_dataset/IMG/robocam_2017_06_03_01_20_13_310.jpg,0,0,0,0,103.0694,187.6321,0.0002346126,268.0671,-2.884552E-07
/home/pritesh/codes/robotics/udacity/RoboND-Rover-Project/sim_2_dataset/IMG/robocam_2017_06_03_01_20_13_368.jpg,0,0,0,0,103.0694,187.6321,0.0002346155,268.0671,-4.618531E-07
/home/pritesh/codes/robotics/udacity/RoboND-Rover-Project/sim_2_dataset/IMG/robocam_2017_06_03_01_20_13_431.jpg,0,0,0,0,103.0694,187.6321,0.000234618,268.0671,-6.119093E-07
/home/pritesh/codes/robotics/udacity/RoboND-Rover-Project/sim_2_dataset/IMG/robocam_2017_06_03_01_20_13_490.jpg,0,0.1758842,0,0.02238246,103.0693,187.6306,0.03290538,268.0753,-1.837041E-06
/home/pritesh/codes/robotics/udacity/RoboND-Rover-Project/sim_2_dataset/IMG/robocam_2017_06_03_01_20_13_549.jpg,0,0.2680264,0,0.01611633,103.0692,187.6289,0.06751522,268.1597,-8.766558E-05
/home/pritesh/codes/robotics/udacity/RoboND-Rover-Project/sim_2_dataset/IMG/robocam_2017_06_03_01_20_13_609.jpg,0,0.5336945,0,0.02492637,103.0691,187.6253,0.1387091,268.1403,-8.651842E-05
/home/pritesh/codes/robotics/udacity/RoboND-Rover-Project/sim_2_dataset/IMG/robocam_2017_06_03_01_20_13_699.jpg,0,0.7143724,0,0.04820316,103.0688,187.6165,0.3067961,268.0439,0.0003797346
/home/pritesh/codes/robotics/udacity/RoboND-Rover-Project/sim_2_dataset/IMG/robocam_2017_06_03_01_20_13_790.jpg,0,0.9834001,0,0.1153819,103.0681,187.5976,0.6256415,268.0928,-0.0004883709
